"","dep_eta","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_privé","img_recours","ivg_eta_privé","ivg_1314","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"1","01",614.477908202024,47.4233128834356,30.0099700897308,15.7041540020263,88.3870967741936,0,13.4780797412209,0,4.46043165467626,"9.1","3.5","2.8","4.6","27.2","68.2",178
"2","02",1167.78080382933,17.780661907852,6.64310954063604,17.5886524822695,99.5967741935484,0,5.77700751010976,0,4.66717674062739,"8.9","0","0","0.4","21","71.6",192
"3","03",1392.17796914245,8.68596881959911,34.4329896907216,20.8722741433022,99.5024875621891,0.314465408805031,27.2694653749551,40,4.47284345047923,"7.3","0.2","0.3","0.3","23.2","86",175
"4","04",1168.93880934008,37.6288659793814,43.2762836185819,10.5911330049261,100,0,11.432164394524,0,0.87719298245614,"11.1","13.6","12.4","11.8","25","110.9",176
"5","05",1976.44108621771,8.3495145631068,64.9415692821369,15.5932203389831,100,0,46.1939485927344,0,7.46268656716418,"3.3","7","6.6","6.3","39.2","139.3",171
"6","06",1968.68386992707,3.2599837000815,57.5887631681623,15.440144375376,99.8701298701299,8.87764489420423,54.9203654700684,54.5454545454545,10.2865194927196,"27.8","1.6","1.6","1.7","20.4","124.1",184
"7","07",819.592019100543,43.8674033149171,23.8500851788756,10.4452054794521,100,0.223713646532438,43.2833945351224,25,3.38600451467269,"13.5","1.1","1.3","4.6","31.2","85.4",185
"8","08",1080.51411827384,10.688140556369,48.9984591679507,9.75232198142415,100,0,78.2498668087374,0,7.05521472392638,"0","0.9","6.1","9.4","25","85",182
"9","09",1627.31431729559,15.5756207674944,14.7169811320755,17.0923379174853,100,0,21.4928306057908,0,4.06320541760722,"7.5","2.3","1.9","2.3","27.1","92.1",172
"10","10",1227.31248633282,10.5995717344754,8.35189309576838,30.518018018018,95.2029520295203,0,36.9013776514323,0,5.25030525030525,"10.6","1.2","1.4","3.3","27.1","69.4",179
"11","11",1497.18673782328,13.8449962377728,24.0322580645161,16.9547325102881,96.6019417475728,6.26326963906582,22.9407645311632,50,6.57327586206897,"9.8","3.5","3.2","4.3","28.1","92",182
"12","12",1015.77583357974,14.0983606557377,11.986301369863,12.2837370242215,100,0,13.9147374462978,0,1.96463654223969,"4.1","6.3","6.1","6.5","40.6","83.4",176
"13","13",1889.93971744005,8.62636232778121,38.6288998357964,20.1178538199111,85.9198355601233,5.01672240802676,97.1736246343867,29.4117647058824,6.04106567113524,"28.2","0","0","0","25.5","125.8",198
"14","14",964.374858180168,10.0436681222707,22.6625386996904,25.4840724547158,80.6372549019608,1.44115292233787,60.9078857798001,33.3333333333333,7.97101449275362,"13.9","0","0","0","20.2","91.8",168
"15","15",962.325962325962,14.2372881355932,0.709219858156028,17.921146953405,98,1.07142857142857,13.6500136500137,33.3333333333333,1.07913669064748,"6.3","3","12.4","13.1","20.4","96.7",170
"16","16",1205.96346984441,13.6460554371002,42.0711974110032,19.304152637486,95.9302325581395,8.93854748603352,16.9121090700942,33.3333333333333,7.45697896749522,"14.2","3.8","4","3.7","21.9","73.6",170
"17","17",1262.21642653135,10.789766407119,17.2375070185289,20.373613543491,99.4269340974212,1.56037991858887,43.231444142848,28.5714285714286,5.19835841313269,"10.7","1.7","1.8","2.7","21.4","102.8",168
"18","18",1203.74008014457,15.5778894472362,5.74412532637076,23.936170212766,98.3333333333333,2.21606648199446,20.4290091930541,25,5.62587904360056,"9.8","0.2","0.1","0.1","15","68.2",183
"19","19",1520.70685820761,9.21658986175115,4.87483530961792,23.7516869095816,99.4318181818182,3.73961218836565,20.0356634809962,25,2.52100840336134,"9.4","2.4","3.6","3.4","21.5","86",176
"20","21",1108.4131480732,7.6647564469914,40.3651115618661,32.2001888574127,79.1788856304985,0.113378684807256,103.421916453078,20,9.36768149882904,"15","0.3","0.4","2.6","24","98.8",167
"21","22",1055.47085727689,16.4658634538153,13.1851851851852,17.607223476298,94.4444444444444,4.01023890784983,40.6551737617763,16.6666666666667,4.40414507772021,"9.2","0.1","0.2","0.2","21.5","77.2",192
"22","23",732.399523940309,36.4035087719298,0,42.0382165605096,100,0,4.57749702462693,0,3.125,"5.7","12.9","12.3","12.3","17.1","86.8",168
