codgeo;dens_nb_gynec_2020;proxmat_2000;proxmat_2008;proxmat_2017;dens_nb_sgf_ 2020;dens_nb_medg_2020;icf_ 2020
01;9.1;3.5;2.8;4.6;27.2;68.2;178
02;8.9;0;0;0.4;21;71.6;192
03;7.3;0.2;0.3;0.3;23.2;86;175
04;11.1;13.6;12.4;11.8;25;110.9;176
05;3.3;7;6.6;6.3;39.2;139.3;171
06;27.8;1.6;1.6;1.7;20.4;124.1;184
07;13.5;1.1;1.3;4.6;31.2;85.4;185
08;0;0.9;6.1;9.4;25;85;182
09;7.5;2.3;1.9;2.3;27.1;92.1;172
10;10.6;1.2;1.4;3.3;27.1;69.4;179
11;9.8;3.5;3.2;4.3;28.1;92;182
12;4.1;6.3;6.1;6.5;40.6;83.4;176
13;28.2;0;0;0;25.5;125.8;198
14;13.9;0;0;0;20.2;91.8;168
15;6.3;3;12.4;13.1;20.4;96.7;170
16;14.2;3.8;4;3.7;21.9;73.6;170
17;10.7;1.7;1.8;2.7;21.4;102.8;168
18;9.8;0.2;0.1;0.1;15;68.2;183
19;9.4;2.4;3.6;3.4;21.5;86;176
21;15;0.3;0.4;2.6;24;98.8;167
22;9.2;0.1;0.2;0.2;21.5;77.2;192
23;5.7;12.9;12.3;12.3;17.1;86.8;168
24;8.6;8;7.8;6.6;16.7;81.8;174
25;8.4;2.9;3.2;5.8;29.9;98.1;176
26;11.4;1.1;1;2;32.4;91.7;186
27;6;0;0;0;14;66.3;196
28;8.9;0;3.9;3.5;17.2;58.8;198
29;9.3;1.7;1.6;1.4;23.7;100.1;172
2A;15.8;13;11.8;11.2;21.5;110.2;142
2B;10.2;33.5;32.4;32;12.7;88;127
30;11.7;0.3;0.3;0.3;32.7;93.1;191
31;23.9;0.5;0.4;0.3;31.2;106.9;162
32;7.2;16.8;17.8;17;19.1;101.4;170
33;22.8;0.1;0.2;0.1;25.8;120.3;161
34;27;1.2;1.1;0.9;34.3;120.3;171
35;13.8;0;0;0;30.7;94.1;174
36;7.2;3.5;3.3;3.1;14.3;67.5;181
37;13.2;0.7;1.1;1;23.4;96.7;174
38;15.4;1;1.1;0.9;33.6;94.7;185
39;2.7;1.4;1.2;1.6;24.2;87.4;180
40;8.9;7.8;7.5;6.4;31.1;101.9;173
41;8.5;0.3;0.4;0.2;24.7;82.1;191
42;14.4;0;0.1;0.1;26.3;91.8;194
43;9.3;3.2;3.2;3.3;24.7;89.6;179
44;12.8;0;0;0;26;94.4;179
45;11.2;0;0;0.2;18.3;66.9;194
46;3.9;6.3;7.3;23.8;20.6;94.3;167
47;6.8;1.5;1.3;1.2;17.8;72.3;181
48;9.2;13;12.6;11.9;27.5;96.7;149
49;9.9;0;0.1;0;28.6;95;185
50;8;0.2;0.2;0.8;17.8;75.6;183
51;15.6;0.2;0.2;0.3;25.1;92.7;174
52;6.6;0.6;0.5;8.2;18.6;80.4;171
53;4.7;0;0;0;14.9;65.1;199
54;13.6;0;0;0;30.3;99.1;153
55;6.4;2;2.2;2.3;26.9;77.7;177
56;9.5;1.1;1;1;23.8;96;184
57;12.3;0;0.2;0.1;26.9;78.8;160
58;9.7;2.7;11.6;15.6;14.1;72.9;177
59;14.9;0;0;0;22;96.7;182
60;11.8;0;0;0;16.7;63.6;188
61;3.3;0;6.2;6.1;7.4;66.8;188
62;8.9;0;0;0;17;86.5;189
63;12.9;1.6;3.8;3.4;27.1;97.9;162
64;15.6;0.5;0.5;2.3;24.5;107.8;162
65;7.8;0.6;3.5;4.9;17.5;100.8;178
66;20.3;3.1;4.6;4.6;21.7;117.8;182
67;19;0;0.2;0.2;30.1;111.9;163
68;17;0;0;0;22.5;82.2;174
69;24.1;0;0.1;0.1;33.7;99.1;183
70;5;0.7;4.6;4.9;19;82.6;177
71;10.4;0.1;0.1;0.2;19.5;72.1;183
72;12.5;0.2;1;0.9;22.1;62.2;190
73;11.4;0.5;1.5;1.3;33.5;113.2;175
74;12.4;0.1;0;0.1;34.3;95.6;178
75;49;0;0;0;27.5;115.6;149
76;12.4;0.3;0.3;0.3;20.7;92;181
77;11.2;0;0;0;21.8;70;196
78;21.3;0;0;0;26.7;71.2;204
79;6.3;2.7;2.5;2.4;33.3;74.4;177
80;10.6;0;0;0;24.5;98.3;165
81;8.8;1.9;1.6;1.6;40.6;89.6;173
82;12.8;0.4;0.7;0.7;27.4;89.1;190
83;14.3;0.2;0.2;0.2;24;107.8;190
84;19.8;0.1;0.1;0.3;26;92.5;207
85;10;1.3;1.5;1.2;29;69.9;183
86;10;4;3.6;3.3;21.5;96;166
87;13.8;3.1;2.7;2.4;18.5;117.9;168
88;9.4;1.1;1.1;1;23.2;86.9;177
89;6.2;0.5;1.7;2.2;18.7;67.6;195
90;17;0;0;0;22;79;184
91;14.2;0;0;0;26.5;65.2;213
92;26.4;0;0;0;25.2;70.3;172
93;11.4;0;0;0;21.9;59.3;222
94;18.8;0;0;0;18.4;65.2;188
95;17.1;0;0;0;19;65.2;220
971;18.9;1;0.8;2.8;32.7;82.8;233
972;11.2;1;0.9;1.8;30.7;83.2;193
974;16.3;0.9;0.8;0.8;45.9;101.9;241
976;NA;28.6;27.6;24;NA;NA;454
