dep;ivg_recours;ivg_horsdep;ivg_ville;ivg_chir;ivg_ag;img_horsdep;img_prive;ivg_privé;img_recours.x;ivg_eta_privé;ivg_1314;img_recours_av22;img_recours_ap22;img_recours.y;img_eta_prive;img_prop_av22;img_prop_ap22;dens_nb_gynec_2020;proxmat_2000;proxmat_2008;proxmat_2017;dens_nb_sgf_.2020;dens_nb_medg_2020;icf_.2020
1;614.477908202024;47.4233128834356;30.0099700897308;15.7041540020263;88.3870967741936;73.1277533039648;96.9230769230769;0;13.4780797412209;0;4.46043165467626;29.9220300946572;8.63135483499727;37.4025376183215;0;77.6119402985075;22.3880597014925;9.1;3.5;2.8;4.6;27.2;68.2;178
2;1167.78080382933;17.780661907852;6.64310954063604;17.5886524822695;99.5967741935484;72.3880597014925;100;0;5.77700751010976;0;4.66717674062739;28.090207525898;3.79597398998622;31.8861815158843;0;88.0952380952381;11.9047619047619;8.9;0;0;0.4;21;71.6;192
3;1392.17796914245;8.68596881959911;34.4329896907216;20.8722741433022;99.5024875621891;41.8367346938776;80;0.314465408805031;27.2694653749551;40;4.47284345047923;75.5337052595312;7.95091634310854;86.1349270503426;40;90.4761904761905;9.52380952380952;7.3;0.2;0.3;0.3;23.2;86;175
4;1168.93880934008;37.6288659793814;43.2762836185819;10.5911330049261;100;61.5384615384615;100;0;11.432164394524;0;0.87719298245614;61.0727562400425;5.31067445565587;69.0387679235263;0;92;8;11.1;13.6;12.4;11.8;25;110.9;176
5;1976.44108621771;8.3495145631068;64.9415692821369;15.5932203389831;100;47.8260869565217;100;0;46.1939485927344;0;7.46268656716418;76.1324704986677;12.1811952797868;88.3136657784545;0;86.2068965517241;13.7931034482759;3.3;7;6.6;6.3;39.2;139.3;171
6;1968.68386992707;3.2599837000815;57.5887631681623;15.440144375376;99.8701298701299;2.51572327044025;90.4255319148936;8.87764489420423;54.9203654700684;54.5454545454545;10.2865194927196;81.4367616400278;55.0150567523743;136.089877229558;44.4444444444444;59.6816976127321;40.3183023872679;27.8;1.6;1.6;1.7;20.4;124.1;184
7;819.592019100543;43.8674033149171;23.8500851788756;10.4452054794521;100;42.8571428571429;88.5714285714286;0.223713646532438;43.2833945351224;25;3.38600451467269;131.139878208707;5.1936585429191;136.333536751626;25;96.1904761904762;3.80952380952381;13.5;1.1;1.3;4.6;31.2;85.4;185
8;1080.51411827384;10.688140556369;48.9984591679507;9.75232198142415;100;25.3731343283582;100;0;78.2498668087374;0;7.05521472392638;138.707882723247;15.2426244750821;155.474769645838;0;90.0990099009901;9.9009900990099;0;0.9;6.1;9.4;25;85;182
9;1627.31431729559;15.5756207674944;14.7169811320755;17.0923379174853;100;57.7777777777778;100;0;21.4928306057908;0;4.06320541760722;60.0317310578449;0;60.0317310578449;0;100;0;7.5;2.3;1.9;2.3;27.1;92.1;172
10;1227.31248633282;10.5995717344754;8.35189309576838;30.518018018018;95.2029520295203;33.6842105263158;100;0;36.9013776514323;0;5.25030525030525;84.4313675323014;3.83778943328643;89.5484201100166;0;95.6521739130435;4.34782608695652;10.6;1.2;1.4;3.3;27.1;69.4;179
